"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN","Pathways","pro","anti","fitness","GoTerm","t7.8","t10.7","t14","t17.8","t22","t26.8","t32.2","t38.4","t45.4","t53.3","t62.2","t72.3","p7.8","p10.7","p14","p17.8","p22","p26.8","p32.2","p38.4","p45.4","p53.3","p62.2","p72.3"
"PTC4","YBR125C","ORF","487199-488380","-","II",NA,NA,NA,NA,"0046872; 0016787; 0006470; 0004721; 0004721; 0043169; 0004722; 0006470; 0003824; 0004722; 0004722; 0005737",24.52054254,24.63005273,25.09604796,25.84084735,27.80065504,28.46973677,28.79915747,28.92294164,27.63613949,28.45213502,30.88322294,36.20712438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALG14","YBR070C","ORF","379221-379934","-","II","lipid-linked oligosaccharide biosynthesis",NA,NA,NA,"0043541; 0006488; 0004577; 0031965; 0043495; 0031227; 0006488; 0016021; 0006488; 0005783; 0043495; 0005789; 0006488; 0006488; 0016020; 0005634; 0004577; 0004577; 0030176; 0042175; 0004577; 0043541; 0006488; 0004577",18.07996428,18.55573177,19.48373389,20.75552493,23.25068687,24.91610687,26.30541966,27.27281516,25.24886055,24.62943068,24.63444728,26.45386401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FUN12","YAL035W","ORF","76427-79435","+","I",NA,0,0,1,"0001732; 0000462; 0005829; 0010494; 0046872; 0016787; 0005525; 0000166; 0006412; 0006446; 0003924; 0030687; 0043022; 0005525; 0006413; 0005737; 0005737; 0005525; 0003924; 0003743; 0003743; 0003924; 0031369; 0001732; 0005737; 0033290; 0005739; 0042255; 0003743; 0022627; 0005739",126.1886985,125.1847059,123.1519661,120.9132341,114.9787984,115.7140072,116.0853861,112.7421,114.3780034,111.7381707,104.9498746,91.16294136,455.3083559,459.4237639,466.1617564,477.87577,499.4471899,507.5241786,523.3454801,531.6113061,514.6463644,516.6079225,523.6318599,538.1256448
"TUP1","YCR084C","ORF","260311-262452","-","III",NA,NA,NA,NA,"0005634; 0035955; 0006355; 0006351; 0017053; 0001191; 0001191; 0001198; 0000433; 2000531; 0008023; 0033588; 0000123; 0005634; 0042826; 2001020; 0016584; 0000122; 2000217; 0000122; 0080025; 0036033; 0036033; 0042826; 0043486; 0007070; 0042393; 0005634",93.66289399,91.38455855,88.21556939,84.55201921,78.00575285,75.4335967,73.81527833,73.19781742,73.75041521,74.39374473,75.6988781,77.51274639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OLA1","YBR025C","ORF","290681-291865","-","II",NA,NA,NA,NA,"0005737; 0005737; 0005737; 0005737; 0005524; 0046872; 0000166; 0016787; 0043023; 0043022; 0016887; 0005524; 0008150; 0005525; 0016887",520.7039945,516.5575208,509.8680864,502.4964317,486.656158,486.7355635,486.9538982,479.8647811,480.4790444,477.9427069,473.8191003,467.6840688,1602.406653,1638.132112,1672.155194,1706.343717,1719.064532,1760.85546,1778.504353,1759.045153,1641.181463,1547.898017,1573.855429,1834.5016
"MMS4","YBR098W","ORF","441515-443590","+","II",NA,NA,NA,NA,"0006281; 0005634; 0008821; 0006974; 0006265; 0051321; 0003677; 0004518; 0048476; 0004520; 0007131; 0007131; 0010520; 0006974; 0004518; 0004519; 0006281; 0006310; 0005634; 0005634; 0016787; 0046872; 0048476; 0005634; 0006281; 0000712",8.302100372,8.164709361,7.989259453,7.77974152,7.51462043,7.254943071,7.208791522,7.612158437,8.509520225,8.885193974,8.96519349,8.349070137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FLC2","YAL053W","ORF","45899-48250","+","I",NA,NA,NA,NA,"0071476; 0015230; 0016021; 0005789; 0016020; 0005783; 0005737; 0006810; 0009272; 0016021; 0015883; 0006457; 0005783; 0055085; 0055074",72.49989938,75.02872172,78.41799822,82.55047964,89.70390467,91.35732359,96.74481479,119.4782128,131.7248208,128.3333405,109.731965,67.09200322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MIS1","YBR084W","ORF","411054-413981","+","II","folate biosynthesis; folate biosynthesis; folate biosynthesis; folate interconversions; folate interconversions; folate interconversions; folate polyglutamylation; folate transformations; folate transformations; folate transformations",0,0,1,"0016787; 0005739; 0006164; 0004329; 0004477; 0004488; 0035999; 0005524; 0003824; 0009086; 0008152; 0016874; 0005739; 0005739; 0004329; 0005524; 0009396; 0000166; 0003824; 0004488; 0006730; 0005829; 0006730; 0055114; 0008652; 0006139; 0005739; 0055114; 0016491; 0046656; 0005739; 0004488; 0004477; 0005739; 0004329; 0000105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203.1695281,201.2577682,200.6748335,201.6694211,207.2303293,214.8039496,222.1957549,225.93396,215.3067823,213.9766205,216.4837609,225.7546481
"SNT1","YCR033W","ORF","186489-190169","+","III",NA,NA,NA,NA,"0003674; 0032874; 0003677; 0034967; 0070210; 0005634; 0016575; 0003677; 0005634; 0005829; 0005634; 0006355",22.64028958,22.51179356,22.32207168,22.07607931,21.57116622,21.31183156,21.26157927,21.80067184,21.83355806,21.99445754,22.323378,22.95797022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BIT2","YBR270C","ORF","742761-744398","-","II",NA,NA,NA,NA,"0038203; 0003674; 0031932",9.95097369,10.18098517,10.66504381,11.27242723,12.8855853,13.06613406,12.80537536,11.53151051,11.61678228,12.41238526,13.89258246,16.17464145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RBK1","YCR036W","ORF","193297-194298","+","III",NA,NA,NA,NA,"0004747; 0016740; 0005975; 0004747; 0019303; 0005737; 0005737; 0016310; 0000166; 0005634; 0005634; 0016301; 0006014; 0004747; 0005524; 0005737; 0005634; 0005524; 0046835; 0004747; 0005634; 0005737; 0019303; 0016773; 0046872; 0005524; 0006014",48.16600101,48.54149426,49.31369446,50.21440746,52.6277702,52.23060587,52.57926231,57.37169161,56.20104765,55.15326609,54.1002946,54.03037202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBL094C","YBL094C","ORF","43765-44097","-","II",NA,NA,NA,NA,NA,37.37611759,39.89404473,43.73040875,48.24692344,57.2678609,59.9716735,61.63577013,62.75669213,61.27316555,65.06149458,73.77591742,91.292068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR174C","YBR174C","ORF","582338-582652","-","II",NA,NA,NA,NA,NA,24.22700658,24.54549043,24.8305615,24.95451538,25.23140462,24.21714292,22.93386731,21.7432977,21.53623608,21.27604756,21.25223047,21.3930598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUT1","YBR252W","ORF","722611-723054","+","II","de novo biosynthesis of pyrimidine deoxyribonucleotides",NA,NA,NA,"0005737; 0006226; 0004170; 0009213; 0004170; 0016787; 0046080; 0004170; 0004170; 0046081; 0046081; 0000287; 0006226; 0016787; 0035870; 0035863; 0046872; 0009117; 0004170; 0005634",101.3429387,100.0270309,97.77783004,94.87502586,88.7121937,86.03654628,85.8847403,92.56917138,94.53195237,94.40933584,93.31308901,91.12180715,22.27732171,19.88892959,17.27601052,13.83765644,9.109406479,8.787533401,9.669557708,13.1034905,18.63151127,24.02539039,30.79684809,39.1646586
"CCZ1","YBR131W","ORF","497163-499277","+","II",NA,NA,NA,NA,"0007034; 0006914; 0006623; 0048278; 0006914; 0097352; 0032585; 0032258; 0043547; 0016236; 0005768; 0044395; 0017112; 0005770; 0005774; 0005829; 0017112; 0010314; 0035658; 0044395; 0001786; 0035658; 0031902; 0005768; 0032266; 0015031; 0016020; 0043547; 0005773; 0006810; 0007034",7.032677495,6.900245383,6.71249821,6.497364198,6.194911756,5.918729056,5.893943303,6.731158994,7.188016171,7.198401149,6.936721457,6.263186209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KIP1","YBL063W","ORF","101886-105221","+","II",NA,NA,NA,NA,"0005874; 0007067; 0005634; 0007018; 0008017; 0003777; 0005816; 0007018; 0008574; 0005737; 0003777; 0090307; 0000022; 0005871; 0005200; 0005524; 0030541; 0007019; 0000070; 0000073; 0000073; 0005876; 0005524; 0000166; 0007049; 0005856; 0051301; 0005819",6.871216668,6.875497637,6.948277483,7.074778737,7.463431035,7.599808619,7.629622978,7.428803475,7.156176217,7.175039107,7.414722542,8.057404502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR201C-A","YBR201C-A","ORF","624493-624696","-","II",NA,NA,NA,NA,"0005575; 0008150; 0003674",31.93030814,35.04162533,38.77886742,42.21223292,48.6708703,46.49591961,43.03753527,37.77585585,46.07428392,63.05970267,91.78093917,135.9920626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NUP170","YBL079W","ORF","75259-79767","+","II",NA,0,0,1,"0017056; 0036228; 0016021; 0007059; 1990841; 0034398; 0016584; 0006342; 0005634; 0003682; 0005643; 0006913; 0036228; 0006913; 0005643; 0016020; 0051292; 0005643; 0005643; 0044611; 0017056; 0017056; 0017056; 0017056; 0051292; 0031965; 0051028; 0015031; 0070869; 0006810; 0017056; 0032403",17.75062807,17.63833647,17.44972189,17.24605509,16.80706367,16.8753307,16.70486346,15.55907557,14.97029754,15.20842111,16.28456156,18.78825171,28.3025789,26.71187583,25.68188295,24.97940484,24.7076037,31.98367028,39.37473963,46.2132057,46.82132592,47.77334362,47.73253338,47.3611609
"YIH1","YCR059C","ORF","223454-224230","-","III",NA,0,0,1,"0006417; 0005634; 0005737; 0003779; 0005634; 0005840; 0005844; 0043022; 0001933; 0004860; 0003785; 0005737; 0005737; 0005634",85.3418171,85.79801763,86.22750704,86.61409122,86.64221047,86.73244698,87.35669591,89.64580994,92.90817372,93.64606622,92.08832487,86.21588463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHG1","YBR258C","ORF","729734-730162","-","II",NA,0,0,1,"0051568; 0051568; 0005634; 0048188; 0051568; 0048188; 0005634; 0005634; 0042800; 0042800; 0048188; 0005634",22.4855479,23.34154031,24.30625881,25.04890849,26.74552896,25.17504541,22.595459,18.56464578,18.14435777,19.196181,22.34010802,28.21572295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR012C","YBR012C","ORF","259147-259566","-","II",NA,NA,NA,NA,NA,30.54970441,30.50964561,30.3013457,30.13667619,29.40469875,30.08591602,30.69850419,30.64331013,30.86440549,30.62849807,30.04654403,29.22439725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL228C","YDL228C","ORF","45277-45918","-","IV",NA,NA,NA,NA,NA,1851.164743,1857.927301,1862.279371,1868.809687,1862.03714,1891.686292,1915.588339,1901.007359,1941.564277,1918.145762,1828.833461,1626.357178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GAL10","YBR019C","ORF","276253-278352","-","II","galactose degradation; galactose degradation",NA,NA,NA,"0004034; 0033499; 0033499; 0008152; 0006012; 0003978; 0004034; 0006012; 0019318; 0005829; 0016853; 0003824; 0005975; 0003978; 0005975; 0006012; 0016853; 0030246; 0003978; 0003824; 0003978",4.140972366,4.025993489,3.889035578,3.755347588,3.515208902,3.539263722,3.60949658,3.709376591,3.518208905,3.560235217,3.787135581,4.376368444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YEL1","YBL060W","ORF","107932-109995","+","II",NA,NA,NA,NA,"0016020; 0005737; 0005737; 0005085; 0005886; 0005886; 0005935; 0005086; 0005086; 0005086; 0032012; 0005935; 0010513; 0005935; 0005737; 0008104; 0051666; 0005802; 0016192; 0005934; 0005934",11.86471924,11.74742293,11.52036638,11.18276005,10.64759619,9.900518193,9.472955473,10.44976571,10.50178742,10.77824604,11.59756991,13.44988002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR131C-A","YBR131C-A","ORF","497650-497739","-","II",NA,NA,NA,NA,NA,10.55492841,10.11166868,9.493576737,8.768550849,7.733857336,6.754673213,6.502632454,8.2049709,11.47155019,13.46027434,14.93479415,14.8481663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RFA1","YAR007C","ORF","156754-158619","-","I",NA,NA,NA,NA,"0045184; 0006268; 0006312; 0006289; 0007004; 0005662; 0006281; 0006310; 0000781; 0005737; 0003729; 0000722; 0003676; 0003677; 0005634; 0006260; 0005634; 0005829; 0046872; 0003677; 0006265; 0000794; 0030491; 0006260; 0005634; 0005634; 0016567; 0016567; 0000724; 0010833; 0003690; 0043565; 0003697; 0006281; 0006260; 0007131",17.56425615,17.69389231,18.13482488,18.79045313,20.71390748,21.17739423,21.21984338,20.30915965,20.58354809,20.36280477,19.54258601,17.52275908,25.26935025,25.87463268,26.66988687,27.85219121,29.73180796,30.41860923,31.70226249,32.90521668,33.6934989,33.59207345,32.85156729,31.24584518
"DER1","YBR201W","ORF","623576-624211","+","II",NA,0,1,0,"0000839; 0005789; 0030433; 0016021; 0030433; 0015031; 0030433; 0070843; 0030970; 0051787; 0006810; 0016020; 0005783; 0016021; 0005789",27.16226495,27.25684354,27.52645065,27.77784859,28.53482164,28.16570409,27.86007769,28.16025029,27.32069779,27.29575489,27.89540233,29.50877128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YCL041C","YCL041C","ORF","50133-50627","-","III",NA,NA,NA,NA,NA,59.85500974,59.13700072,58.73863842,58.8830409,60.02537795,62.00232075,64.2895392,67.0201725,67.00251922,65.97098663,63.2056564,58.25714957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STE50","YCL032W","ORF","63441-64481","+","III",NA,NA,NA,NA,"0019236; 0034605; 0007050; 0007049; 0005737; 0000161; 0007165; 0032093; 0007232; 0000161; 0000750; 0001402; 0019887",21.53491963,21.77393232,22.38817348,23.05924626,25.30084814,24.63170757,23.44459243,21.66686222,20.99046328,21.57939806,23.39591618,26.74053925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBL005W-B","YBL005W-B","transposable_element_gene","221330-226598","+","II",NA,NA,NA,NA,"0003964; 0003887; 0032197; 0005634; 0005634; 0003824; 0005524; 0005737; 0005737; 0008233; 0004523; 0019076; 0003964; 0003887; 0006508; 0016779; 0000166; 0015074; 0003723; 0008233; 0004540; 0000943; 0003964; 0016740; 0003887; 0003723; 0005634; 0032196; 0004518; 0004190; 0046872; 0003676; 0003723; 0004190; 0005737; 0006508; 0015074; 0003677; 0004519; 0016787; 0006310; 0008152",4.722183998,4.545710264,4.291738957,3.990652333,3.420355318,3.164922321,3.153110247,3.811429295,4.031359079,3.9973947,3.773170973,3.251648316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR071W","YBR071W","ORF","380411-381046","+","II",NA,NA,NA,NA,"0005737; 0005935; 0003674; 0008150; 0005737; 0005737",41.82964379,43.14608947,45.62627777,49.13280659,55.80534239,61.26715997,66.25786255,69.70364844,67.14661617,66.58178784,66.42391413,68.81021125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR184W","YBR184W","ORF","597363-598934","+","II",NA,NA,NA,NA,"0005575; 0008150; 0003674",2.188589977,2.185919422,2.180386517,2.172217918,2.174486751,2.131196845,2.100110472,2.155359651,2.179122352,2.327562874,2.634707286,3.209031487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OST4","YDL232W","ORF","38487-38597","+","IV",NA,NA,NA,NA,"0005739; 0016020; 0006486; 0016757; 0005783; 0016740; 0016021; 0004579; 0006487; 0008250; 0005789; 0005789; 0030674; 0006487; 0008250",239.8874256,237.6623596,235.2123255,232.6124123,229.0030738,227.738724,228.0322163,230.8161344,230.619917,229.7646295,228.1207207,225.1572693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL186W","YDL186W","ORF","125616-126449","+","IV",NA,NA,NA,NA,"0005575; 0003674; 0008150",8.232674245,7.797703014,7.091191058,6.165034981,4.374784115,3.331129886,2.827558517,3.755445189,4.090064309,4.116988331,4.165239518,4.21656319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PDB1","YBR221C","ORF","665153-666253","-","II","pyruvate dehydrogenase complex",NA,NA,NA,"0055114; 0005739; 0004739; 0006086; 0005759; 0006086; 0005967; 0006096; 0005739; 0003824; 0008152; 0004739; 0016491; 0042645; 0005739; 0004739; 0005739; 0005739",271.8279558,269.7730713,268.3661779,267.2257638,269.0571107,266.4817478,263.0682831,260.9948356,248.3904534,243.2981172,243.6342037,254.8940965,357.6254328,360.2087437,363.1473844,366.7261983,368.2892053,381.1211583,381.7679399,374.2779692,346.8017757,327.2123563,331.2060632,381.0601627
"YBL029C-A","YBL029C-A","ORF","164488-164772","-","II",NA,NA,NA,NA,"0003674; 0016020; 0008150; 0005886; 0005886; 0005886",102.4588971,102.2558501,104.3880696,107.8676869,118.1570565,122.2075292,124.4801411,122.782646,108.4828881,106.3929271,112.1314959,132.9951946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHO87","YCR037C","ORF","194414-197185","-","III",NA,NA,NA,NA,"0006810; 0006817; 0016021; 0016020; 0016020; 0005315; 0006817; 0006797; 0005886; 2000185; 0097080; 0071944; 0016021; 0055085; 0016021; 0016021",28.25355665,28.06452018,27.73620657,27.34696355,26.65248998,26.14978076,25.84148659,26.65647119,26.44932146,25.07622628,22.60124286,18.60684837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MRPL32","YCR003W","ORF","118620-119171","+","III",NA,0,0,1,"0032543; 0003735; 0006412; 0005743; 0005739; 0005739; 0005840; 0015934; 0003735; 0044822; 0030529; 0005762; 0005739; 0005739",30.59847942,29.21225549,27.45025847,25.57107941,22.37976247,21.61163121,21.27295423,22.01611739,18.35687076,14.34451855,9.348555585,3.852877025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SNF5","YBR289W","ORF","779667-782384","+","II",NA,NA,NA,NA,"0000724; 0044772; 0006338; 0006338; 0015616; 0006355; 0016514; 0016514; 0045944; 0045944; 2000219; 0005634; 0005634; 0005634; 0045944; 0000228; 0006338; 0016514; 0016514; 0016514; 0005634; 0006351; 0005829; 0005987; 0001102; 0001102; 0000436; 0006337; 0043044; 0001102",12.04974477,11.83155726,11.57963383,11.28456786,10.91811943,10.52472422,10.33224362,10.93294164,10.33037508,10.03228057,10.0395945,10.75675864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MSI1","YBR195C","ORF","610614-611882","-","II",NA,NA,NA,NA,"0005737; 0005737; 0005634; 0005634; 0006335; 0042393; 0005737; 0005634; 0033186",24.62743053,24.34304229,23.96534252,23.598737,22.82231108,23.12298137,23.54679255,23.53192427,23.97778472,24.37939558,24.7854021,25.1373366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIT1","YCR098C","ORF","297049-298605","-","III",NA,NA,NA,NA,"0001407; 0015794; 0001406; 0001407; 0016021; 0006810; 0005887; 0016021; 0000324; 0001406; 0005886; 0055085; 0055085; 0005215; 0022857; 0016021; 0016020; 0016020; 0071944; 0015169; 0015169; 0015794; 0005886",2.002924625,2.141561008,2.351944489,2.691700859,3.206354546,4.011136507,4.591394972,4.451372966,3.833310786,3.310719892,2.650271959,2.102368141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PRD1","YCL057W","ORF","24768-26906","+","III",NA,NA,NA,NA,"0005737; 0005739; 0005737; 0016787; 0046872; 0006508; 0008237; 0005794; 0004222; 0000324; 0008233; 0005737; 0005737; 0005737; 0006508; 0006508; 0004222; 0004222; 0005758; 0005739; 0004222; 0006508; 0008237",40.87926395,38.94413283,37.05977435,35.21829481,34.00464951,32.48985812,31.19172407,30.61667581,26.38299603,25.39283814,27.24271644,34.35491343,106.2005941,108.7423778,112.6071871,118.4874566,127.3924237,139.6680541,143.3100587,143.9852456,141.1860552,138.8725204,135.8361617,133.217439
"ERT1","YBR239C","ORF","698354-699943","-","II",NA,NA,NA,NA,"0005737; 0005737; 0001078; 0061415; 0035948; 0043565; 0000122; 0061414; 0005634; 0006355; 0008270; 0003677; 0006351; 0043565; 0000981; 0005634; 0005634; 0006355; 0043565; 0006094; 0046872; 0005737; 0005634",14.43097678,14.59177021,14.73928119,14.7907696,14.85062451,14.32156506,13.90951445,14.11960075,14.77837123,15.07519325,15.23259512,14.91741628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YDL162C","YDL162C","ORF","167359-167715","-","IV",NA,NA,NA,NA,NA,13.24962082,13.62279053,13.92137301,13.95036812,14.02018533,12.54982733,10.66477833,8.408243345,8.111507569,7.678508045,7.470925829,7.177390545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARL1","YBR164C","ORF","567875-568426","-","II",NA,NA,NA,NA,"0006623; 0005802; 0016192; 0016192; 0005794; 0005794; 0000166; 0006810; 0005829; 0000042; 0034976; 0016192; 0005829; 0005802; 0005525; 0006623; 0006897; 0007264; 0015031; 0005525; 0005622; 0043001; 0005794; 0003924; 0003924; 0005794",116.4500744,115.7444177,114.2332688,111.8849939,107.9270684,103.3909792,98.47043689,92.44416148,93.79110522,97.84335999,106.7084438,121.8382524,42.12883699,42.45659912,42.86129516,43.51851622,45.03181183,44.12674655,43.72542914,42.3633051,39.78824912,38.92404113,38.38160172,38.1241956
"ALG3","YBL082C","ORF","69751-71127","-","II","lipid-linked oligosaccharide biosynthesis",0,1,0,"0005783; 0052925; 0005783; 0005789; 0016740; 0016020; 0006486; 0052925; 0005783; 0016757; 0016758; 0006490; 0006490; 0016021; 0016021; 0006486; 0005783; 0000033; 0016021",42.53134037,42.28547785,41.67249014,40.79023804,38.749352,37.66510134,36.70761984,35.95532444,36.61360537,37.61372752,39.42903339,42.26231692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TIP1","YBR067C","ORF","372103-372735","-","II",NA,NA,NA,NA,"0071944; 0009277; 0006950; 0005199; 0005829; 0016020; 0016020; 0031225; 0005576; 0016787; 0005618; 0005618; 0031505; 0016298; 0009277",1163.498741,1193.881908,1220.357006,1230.490795,1246.366572,1158.375801,1049.194969,942.5747174,926.6308973,939.4908197,1011.175045,1160.803627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBR103C-A","YBR103C-A","ORF","449320-449463","-","II",NA,NA,NA,NA,NA,4.421773655,4.371381436,4.299267436,4.161396477,4.150574523,3.60988177,3.122195224,2.911049195,3.427107097,3.914913992,4.692549929,5.72995047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RPL19A","YBR084C-A","ORF","414186-415261","-","II",NA,0,1,0,"0022625; 0003735; 0006412; 0044822; 0006412; 0005840; 0005737; 0005737; 0030529; 0005840; 0005622; 0003735; 0003735; 0002181; 0022625",1887.618863,1890.205218,1889.702316,1888.559396,1877.721663,1883.420483,1884.051764,1862.796489,1870.813522,1881.44502,1899.715185,1930.284997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YBL044W","YBL044W","ORF","135998-136366","+","II",NA,NA,NA,NA,"0003674; 0005575; 0008150",2.656656881,2.753657592,2.787952943,2.735183566,2.521494448,2.086643685,1.656232876,1.605436309,1.440422944,1.562578329,2.085742325,3.278048612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PGS1","YCL004W","ORF","109105-110670","+","III","phospholipid biosynthesis",NA,NA,NA,"0005739; 0005739; 0016780; 0008654; 0003824; 0032049; 0000166; 0006629; 0005524; 0008444; 0006655; 0005739; 0008654; 0008444; 0016740",10.3250663,10.04032,9.729518479,9.426709309,9.06226684,8.944666065,9.055442491,9.800814789,9.58300271,9.020466363,8.069408534,6.650042607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RFS1","YBR052C","ORF","338720-339352","-","II",NA,NA,NA,NA,"0005737; 0016020; 0005737; 0005737; 0005737; 0045121; 0010181; 0008150; 0003674; 0045121",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.51973228,96.20992268,97.78337908,99.81976488,102.8928081,98.2658185,91.51787903,85.44680469,88.79846354,90.49748691,87.83523207,76.15354222
"ILV6","YCL009C","ORF","104619-105548","-","III","acetoin biosynthesis; isoleucine biosynthesis; valine biosynthesis",NA,NA,NA,"0009082; 0042645; 0008652; 0005739; 0030234; 0003984; 0009082; 0005739; 0003984; 0009082; 0005739; 0008152; 0009082; 0016597; 0005739; 0005739; 0005948; 0009099; 0009097",679.6074978,680.2133233,682.0278072,684.2461451,690.9501459,690.2052307,688.4881663,686.7941873,685.3453966,687.1844302,691.7819065,700.1168002,417.581359,420.0777834,429.978269,447.7858746,478.6186983,566.0678042,580.2343407,562.8794728,465.2847955,419.7773152,437.3734767,576.9144032
"ZTA1","YBR046C","ORF","330507-331511","-","II",NA,0,0.5,0.5,"0003960; 0017091; 0034599; 0005634; 0005737; 0032440; 0003960; 0055114; 0008270; 0016491; 0017091; 0055114; 0016491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.90370831,37.01212271,37.06605207,37.09835348,37.42059148,36.07925172,33.84612434,31.7284206,31.96271625,32.3942782,32.45407558,31.23400626
"CTO1","YCR015C","ORF","141217-142170","-","III",NA,NA,NA,NA,"0070417; 0005575; 0003674",13.40391185,13.42748467,13.37536906,13.24323997,12.94337756,12.6522576,11.95896416,10.01124606,9.475586749,9.722652548,10.8490278,13.2652141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ILS1","YBL076C","ORF","81043-84261","-","II",NA,NA,NA,NA,"0004822; 0005524; 0000166; 0006428; 0004822; 0004822; 0006428; 0006418; 0000166; 0002161; 0000049; 0005737; 0005524; 0004822; 0004812; 0004812; 0006412; 0016874; 0005737; 0005737; 0005829",217.6791615,215.7712951,212.8884501,209.8028509,203.0883068,203.1569715,204.6207163,207.4286683,209.3909793,209.1555533,207.0989393,202.402374,1474.61947,1482.34761,1500.43771,1534.639927,1602.334853,1659.731052,1697.506959,1717.654575,1692.688901,1723.242114,1761.540866,1806.396318
"CDC36","YDL165W","ORF","164290-164865","+","IV",NA,NA,NA,NA,"0005634; 0051726; 0000288; 0000288; 0000288; 0006357; 0005737; 0000289; 0030015; 0006351; 0005634; 0005634; 0031087; 0006368; 0016567; 0004842; 0006355; 0000749; 0006355; 0000290; 0017148; 0000932; 0032968; 0005634; 0005737; 0005737",80.8139496,81.63618749,82.70983693,83.71684251,85.74067978,85.13207611,83.57013568,80.6412944,78.60563938,76.96641404,75.44607961,74.0103927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PTC6","YCR079W","ORF","252845-254173","+","III",NA,NA,NA,NA,"0005739; 0005739; 0006914; 0004722; 0000422; 0016236; 0006470; 0004721; 0003824; 0006470; 0005759; 0004722; 0006470; 0005739; 0016787; 0005758; 0004741; 0004721; 0005759; 0043085; 0005758",17.83263339,17.63456833,17.83046071,18.21039555,20.14095357,19.89999491,19.82387789,21.01747558,20.46127458,20.47382673,20.84251758,21.81619071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
