"Feature","Feature.Systematic.Name","Feature.Type","Coordinates","Strand","ChrN"
"ARS1005","ARS1005","ARS","67663-67736","0","X"
"ELO1","YJL196C","ORF","67850-68782","-","X"
"YJL195C","YJL195C","ORF","69241-69942","-","X"
"CDC6","YJL194W","ORF","69338-70879","+","X"
"YJL193W","YJL193W","ORF","71366-72574","+","X"
"SOP4","YJL192C","ORF","72710-73414","-","X"
"RPS14B","YJL191W","ORF","73787-74611","+","X"
"RPS22A","YJL190C","ORF","74910-75302","-","X"
"RPL39","YJL189W","ORF","75933-76474","+","X"
"BUD19","YJL188C","ORF","76202-76510","-","X"
"SWE1","YJL187C","ORF","76803-79262","-","X"
"MNN5","YJL186W","ORF","80155-81915","+","X"
"ATG36","YJL185C","ORF","82095-82976","-","X"
"GON7","YJL184W","ORF","83448-83819","+","X"
"MNN11","YJL183W","ORF","84068-85336","+","X"
"YJL182C","YJL182C","ORF","85435-85752","-","X"
"YJL181W","YJL181W","ORF","85660-87495","+","X"
"ATP12","YJL180C","ORF","87583-88560","-","X"
"PFD1","YJL179W","ORF","88787-89116","+","X"
"ATG27","YJL178C","ORF","89282-90097","-","X"
"RPL17B","YJL177W","ORF","90786-91657","+","X"
"SWI3","YJL176C","ORF","92053-94530","-","X"
"YJL175W","YJL175W","ORF","94049-94561","+","X"
"KRE9","YJL174W","ORF","95092-95922","+","X"
"RFA3","YJL173C","ORF","96161-96529","-","X"
"CPS1","YJL172W","ORF","97737-99467","+","X"
"ARS1006","ARS1006","ARS","99458-99678","0","X"
"TOH1","YJL171C","ORF","99704-100894","-","X"
"ASG7","YJL170C","ORF","101150-101779","-","X"
"YJL169W","YJL169W","ORF","102099-102467","+","X"
"SET2","YJL168C","ORF","102227-104428","-","X"
"ERG20","YJL167W","ORF","105014-106072","+","X"
"QCR8","YJL166W","ORF","106434-106718","+","X"
"HAL5","YJL165C","ORF","106894-109461","-","X"
"TPK1","YJL164C","ORF","109966-111159","-","X"
"YJL163C","YJL163C","ORF","111666-113333","-","X"
"ARS1007","ARS1007","ARS","113678-113749","0","X"
"JJJ2","YJL162C","ORF","113878-115629","-","X"
"tE(UUC)J","tE(UUC)J","tRNA_gene","115939-116010","-","X"
"FMP33","YJL161W","ORF","117245-117787","+","X"
"PIR5","YJL160C","ORF","117962-118825","-","X"
"HSP150","YJL159W","ORF","120449-121690","+","X"
"CIS3","YJL158C","ORF","122265-122948","-","X"
"FAR1","YJL157C","ORF","123836-126328","-","X"
"YJL156W-A","YJL156W-A","ORF","126604-126825","+","X"
"SSY5","YJL156C","ORF","126853-128952","-","X"
"FBP26","YJL155C","ORF","129285-130643","-","X"
"VPS35","YJL154C","ORF","131101-133935","-","X"
"INO1","YJL153C","ORF","134332-135933","-","X"
"YJL152W","YJL152W","ORF","136174-136533","+","X"
"SNA3","YJL151C","ORF","136372-136773","-","X"
"YJL150W","YJL150W","ORF","137123-137425","+","X"
"DAS1","YJL149W","ORF","137379-139370","+","X"
"SNR128","snR128","snoRNA_gene","139566-139691","-","X"
"SNR190","snR190","snoRNA_gene","139761-139950","-","X"
"RPA34","YJL148W","ORF","140437-141138","+","X"
"MRX5","YJL147C","ORF","141419-142567","-","X"
"IDS2","YJL146W","ORF","143292-144701","+","X"
"SFH5","YJL145W","ORF","145160-146044","+","X"
"YJL144W","YJL144W","ORF","146359-146673","+","X"
"TIM17","YJL143W","ORF","147101-147577","+","X"
"IRC9","YJL142C","ORF","147819-148211","-","X"
"YAK1","YJL141C","ORF","147967-150390","-","X"
"RPB4","YJL140W","ORF","150961-151626","+","X"
"YUR1","YJL139C","ORF","151713-152999","-","X"
"TIF2","YJL138C","ORF","153504-154691","-","X"
"GLG2","YJL137C","ORF","154985-156127","-","X"
"YJL136W-A","YJL136W-A","ORF","156169-156252","+","X"
"RPS21B","YJL136C","ORF","156550-157273","-","X"
"YJL135W","YJL135W","ORF","157877-158194","+","X"
"LCB3","YJL134W","ORF","158188-159417","+","X"
"YJL133C-A","YJL133C-A","ORF","159623-159847","-","X"
"MRS3","YJL133W","ORF","160619-161563","+","X"
"YJL132W","YJL132W","ORF","161914-164166","+","X"
"AIM23","YJL131C","ORF","164278-165348","-","X"
"URA2","YJL130C","ORF","165723-172367","-","X"
"TRK1","YJL129C","ORF","173599-177306","-","X"
"PBS2","YJL128C","ORF","178097-180103","-","X"
"YJL127W-A","YJL127W-A","ORF","180194-180310","+","X"
"YJL127C-B","YJL127C-B","ORF","181551-181709","-","X"
"SPT10","YJL127C","ORF","182298-184220","-","X"
"NIT2","YJL126W","ORF","184501-185424","+","X"
"GCD14","YJL125C","ORF","185528-186679","-","X"
"LSM1","YJL124C","ORF","187126-187644","-","X"
"MTC1","YJL123C","ORF","188004-189440","-","X"
"ALB1","YJL122W","ORF","189716-190243","+","X"
"RPE1","YJL121C","ORF","190374-191090","-","X"
"YJL120W","YJL120W","ORF","191022-191345","+","X"
"YJL119C","YJL119C","ORF","191572-191895","-","X"
"YJL118W","YJL118W","ORF","191639-192298","+","X"
"PHO86","YJL117W","ORF","192531-193466","+","X"
"NCA3","YJL116C","ORF","193860-194873","-","X"
"ASF1","YJL115W","ORF","196287-197126","+","X"
"tA(AGC)J","tA(AGC)J","tRNA_gene","197313-197385","-","X"
"YJLWsigma1","YJLWsigma1","long_terminal_repeat","197401-197494","+","X"
"YJLWtau1","YJLWtau1","long_terminal_repeat","197545-197915","+","X"
"YJLWTy4-1","YJLWTy4-1","LTR_retrotransposon","197545-203768","+","X"
"YJL114W","YJL114W","transposable_element_gene","197915-198595","+","X"
"YJL113W","YJL113W","transposable_element_gene","198678-203325","+","X"
"YJLWtau2","YJLWtau2","long_terminal_repeat","203398-203768","+","X"
"YJLCdelta3","YJLCdelta3","long_terminal_repeat","203783-204114","-","X"
"ARS1008","ARS1008","ARS","204029-204917","0","X"
"tD(GUC)J1","tD(GUC)J1","tRNA_gene","204735-204806","+","X"
"MDV1","YJL112W","ORF","205305-207449","+","X"
"CCT7","YJL111W","ORF","207877-209529","+","X"
"GZF3","YJL110C","ORF","209922-211577","-","X"
"UTP10","YJL109C","ORF","212000-217309","-","X"
"PRM10","YJL108C","ORF","217705-218856","-","X"
"YJL107C","YJL107C","ORF","218853-220016","-","X"
"IME2","YJL106W","ORF","221390-223327","+","X"
"SET4","YJL105W","ORF","225055-226737","+","X"
"PAM16","YJL104W","ORF","227327-227776","+","X"
"SNR37","snR37","snoRNA_gene","228094-228479","-","X"
"ARS1009","ARS1009","ARS","228552-229043","0","X"
"GSM1","YJL103C","ORF","229025-230881","-","X"
"MEF2","YJL102W","ORF","231301-233760","+","X"
"tR(ACG)J","tR(ACG)J","tRNA_gene","233939-234011","+","X"
"GSH1","YJL101C","ORF","234320-236356","-","X"
"LSB6","YJL100W","ORF","237263-239086","+","X"
"CHS6","YJL099W","ORF","239414-241654","+","X"
"SAP185","YJL098W","ORF","242082-245258","+","X"
"PHS1","YJL097W","ORF","245591-246244","+","X"
"MRPL49","YJL096W","ORF","246490-246975","+","X"
"ETC3","ETC3","matrix_attachment_site","247060-247082","+","X"
"BCK1","YJL095W","ORF","247255-251691","+","X"
"KHA1","YJL094C","ORF","251821-254442","-","X"
"TOK1","YJL093C","ORF","254737-256812","-","X"
"SRS2","YJL092W","ORF","257423-260947","+","X"
"GWT1","YJL091C","ORF","261080-262552","-","X"
"DPB11","YJL090C","ORF","262757-265051","-","X"
"SIP4","YJL089W","ORF","265926-268415","+","X"
"ARG3","YJL088W","ORF","268799-269815","+","X"
"TRL1","YJL087C","ORF","270002-272485","-","X"
"YJL086C","YJL086C","ORF","272478-272846","-","X"
"EXO70","YJL085W","ORF","272827-274698","+","X"
"ALY2","YJL084C","ORF","274862-278002","-","X"
"TAX4","YJL083W","ORF","278841-280655","+","X"
"IML2","YJL082W","ORF","281185-283380","+","X"
"ARP4","YJL081C","ORF","283802-285271","-","X"
"SCP160","YJL080C","ORF","285558-289226","-","X"
"PRY1","YJL079C","ORF","289875-290774","-","X"
"PRY3","YJL078C","ORF","291336-293981","-","X"
"YJL077W-B","YJL077W-B","ORF","294047-294145","+","X"
"ICS3","YJL077C","ORF","294666-295061","-","X"
"YJL077W-A","YJL077W-A","ORF","294799-294885","+","X"
"NET1","YJL076W","ORF","295245-298814","+","X"
"APQ13","YJL075C","ORF","298460-298876","-","X"
"ARS1010","ARS1010","ARS","298981-299245","0","X"
"SMC3","YJL074C","ORF","299157-302849","-","X"
"JEM1","YJL073W","ORF","303181-305118","+","X"
"PSF2","YJL072C","ORF","305221-305862","-","X"
"ARG2","YJL071W","ORF","306132-307856","+","X"
"YJL070C","YJL070C","ORF","307971-310637","-","X"
"UTP18","YJL069C","ORF","310922-312706","-","X"
"YJL068C","YJL068C","ORF","313016-313915","-","X"
"YJL067W","YJL067W","ORF","314084-314434","+","X"
"MPM1","YJL066C","ORF","314114-314872","-","X"
"DLS1","YJL065C","ORF","315054-315557","-","X"
"YJL064W","YJL064W","ORF","315175-315570","+","X"
"MRPL8","YJL063C","ORF","315759-316475","-","X"
"COA3","YJL062W-A","ORF","316723-316980","+","X"
"LAS21","YJL062W","ORF","317284-319776","+","X"
"NUP82","YJL061W","ORF","320016-322157","+","X"
"BNA3","YJL060W","ORF","323386-324720","+","X"
"YHC3","YJL059W","ORF","324964-326190","+","X"
"BIT61","YJL058C","ORF","326242-327873","-","X"
"IKS1","YJL057C","ORF","328118-330121","-","X"
"ZAP1","YJL056C","ORF","330431-333073","-","X"
"YJL055W","YJL055W","ORF","333357-334094","+","X"
"TIM54","YJL054W","ORF","334265-335701","+","X"
"PEP8","YJL053W","ORF","335898-337037","+","X"
"ARS1011","ARS1011","ARS","337281-337529","0","X"
"YJL052C-A","YJL052C-A","ORF","337884-338003","-","X"
"TDH1","YJL052W","ORF","338271-339269","+","X"
"IRC8","YJL051W","ORF","339787-342255","+","X"
"MTR4","YJL050W","ORF","342522-345743","+","X"
"CHM7","YJL049W","ORF","345973-347325","+","X"
"UBX6","YJL048C","ORF","347447-348637","-","X"
"YJL047C-A","YJL047C-A","ORF","349044-349178","-","X"
"SNR60","snR60","snoRNA_gene","349130-349233","-","X"
"RTT101","YJL047C","ORF","349580-352108","-","X"
"AIM22","YJL046W","ORF","352386-353615","+","X"
"SUP7","tY(GUA)J1","tRNA_gene","354244-354332","+","X"
"YJLCdelta4","YJLCdelta4","long_terminal_repeat","354538-355204","-","X"
"YJLCdelta5","YJLCdelta5","long_terminal_repeat","354844-355175","-","X"
"tR(UCU)J1","tR(UCU)J1","tRNA_gene","355374-355445","+","X"
"tD(GUC)J2","tD(GUC)J2","tRNA_gene","355456-355527","+","X"
"YJL045W","YJL045W","ORF","356024-357928","+","X"
"GYP6","YJL044C","ORF","358300-359676","-","X"
"YJL043W","YJL043W","ORF","360130-360903","+","X"
"MHP1","YJL042W","ORF","361249-365445","+","X"
"NSP1","YJL041W","ORF","365784-368373","+","X"
"NUP192","YJL039C","ORF","368748-373799","-","X"
"tD(GUC)J3","tD(GUC)J3","tRNA_gene","374424-374495","-","X"
"tR(UCU)J2","tR(UCU)J2","tRNA_gene","374506-374577","-","X"
"YJLCdelta6","YJLCdelta6","long_terminal_repeat","374844-374935","-","X"
"ARS1012","ARS1012","ARS","374880-375122","0","X"
"LOH1","YJL038C","ORF","375115-375774","-","X"
"ARS1013","ARS1013","ARS","375706-376227","0","X"
"IRC18","YJL037W","ORF","376662-377336","+","X"
"YJLCdelta7","YJLCdelta7","long_terminal_repeat","377598-377870","-","X"
"tV(AAC)J","tV(AAC)J","tRNA_gene","378360-378433","+","X"
"SNX4","YJL036W","ORF","378825-380096","+","X"
"TAD2","YJL035C","ORF","380249-381001","-","X"
"KAR2","YJL034W","ORF","381327-383375","+","X"
"HCA4","YJL033W","ORF","383837-386149","+","X"
"YJL032W","YJL032W","ORF","386348-386662","+","X"
"BET4","YJL031C","ORF","386368-387438","-","X"
"MAD2","YJL030W","ORF","387657-388247","+","X"
"VPS53","YJL029C","ORF","388385-390853","-","X"
"EMT5","tM(CAU)J1","tRNA_gene","391043-391115","-","X"
"YJL028W","YJL028W","ORF","391311-391646","+","X"
"YJL027C","YJL027C","ORF","391833-392249","-","X"
"RNR2","YJL026W","ORF","392404-393603","+","X"
"YJL026C-A","YJL026C-A","ORF","393066-393287","-","X"
"RRN7","YJL025W","ORF","393967-395511","+","X"
"APS3","YJL024C","ORF","395931-396592","-","X"
"tG(GCC)J1","tG(GCC)J1","tRNA_gene","396726-396796","-","X"
"PET130","YJL023C","ORF","397355-398398","-","X"
"YJL022W","YJL022W","ORF","398109-398417","+","X"
"BBC1","YJL020C","ORF","398937-402410","-","X"
"YJL020W-A","YJL020W-A","ORF","400981-401238","+","X"
"MPS3","YJL019W","ORF","402897-404945","+","X"
"YJL016W","YJL016W","ORF","405588-407273","+","X"
"YJL015C","YJL015C","ORF","407142-407426","-","X"
"CCT3","YJL014W","ORF","407558-409162","+","X"
"MAD3","YJL013C","ORF","409493-411040","-","X"
"VTC4","YJL012C","ORF","411234-413399","-","X"
"RPC17","YJL011C","ORF","414285-414770","-","X"
"tK(CUU)J","tK(CUU)J","tRNA_gene","414966-415038","+","X"
"tW(CCA)J","tW(CCA)J","tRNA_gene","415931-416036","-","X"
"YJLWtau3","YJLWtau3","long_terminal_repeat","416266-416441","+","X"
"YJLWdelta8","YJLWdelta8","long_terminal_repeat","416506-416650","+","X"
"YJLWdelta9","YJLWdelta9","long_terminal_repeat","416899-417026","+","X"
"ARS1014","ARS1014","ARS","417195-417440","0","X"
"NOP9","YJL010C","ORF","417562-419562","-","X"
"YJL009W","YJL009W","ORF","419855-420181","+","X"
"CCT8","YJL008C","ORF","419957-421663","-","X"
"YJLWtau4","YJLWtau4","long_terminal_repeat","421946-422295","+","X"
"YJLWdelta10","YJLWdelta10","long_terminal_repeat","422601-422887","+","X"
"YJL007C","YJL007C","ORF","422698-423012","-","X"
"EMT3","tM(CAU)J2","tRNA_gene","422937-423009","+","X"
"CTK2","YJL006C","ORF","423138-424109","-","X"
"SUP51","tL(UAA)J","tRNA_gene","424432-424515","-","X"
"CYR1","YJL005W","ORF","425157-431237","+","X"
"SYS1","YJL004C","ORF","431589-432200","-","X"
"COX16","YJL003W","ORF","432644-433000","+","X"
"OST1","YJL002C","ORF","433221-434651","-","X"
"PRE3","YJL001W","ORF","435163-435926","+","X"
"CEN10","CEN10","centromere","436307-436425","-","X"
"AVT1","YJR001W","ORF","436802-438610","+","X"
"MPP10","YJR002W","ORF","438865-440646","+","X"
"MRX12","YJR003C","ORF","440994-442553","-","X"
"ARS1015","ARS1015","ARS","442556-442965","0","X"
"SAG1","YJR004C","ORF","442909-444861","-","X"
"APL1","YJR005W","ORF","445923-448025","+","X"
"LSO1","YJR005C-A","ORF","448477-448758","-","X"
"POL31","YJR006W","ORF","449202-450665","+","X"
"SUI2","YJR007W","ORF","451020-451934","+","X"
"MHO1","YJR008W","ORF","452430-453446","+","X"
"TDH2","YJR009C","ORF","453683-454681","-","X"
"ARS1016","ARS1016","ARS","454584-455555","0","X"
"MET3","YJR010W","ORF","456239-457774","+","X"
"SPC1","YJR010C-A","ORF","458077-458361","-","X"
"YJR011C","YJR011C","ORF","458641-459426","-","X"
"ARS1017","ARS1017","ARS","459337-459895","0","X"
"YJR012C","YJR012C","ORF","459795-460418","-","X"
"GPI14","YJR013W","ORF","460382-461593","+","X"
"TMA22","YJR014W","ORF","461829-462425","+","X"
"YJR015W","YJR015W","ORF","462721-464253","+","X"
"ILV3","YJR016C","ORF","464451-466208","-","X"
"ESS1","YJR017C","ORF","466521-467033","-","X"
"YJR018W","YJR018W","ORF","466786-467148","+","X"
"TES1","YJR019C","ORF","467232-468281","-","X"
"YJR020W","YJR020W","ORF","468001-468333","+","X"
"REC107","YJR021C","ORF","468555-469579","-","X"
"LSM8","YJR022W","ORF","469784-470113","+","X"
"YJR023C","YJR023C","ORF","469804-470205","-","X"
"MDE1","YJR024C","ORF","470230-470964","-","X"
"BNA1","YJR025C","ORF","471138-471671","-","X"
"YJRWdelta11","YJRWdelta11","long_terminal_repeat","472463-472800","+","X"
"YJRWTy1-1","YJRWTy1-1","LTR_retrotransposon","472463-478384","+","X"
"YJR026W","YJR026W","transposable_element_gene","472760-474082","+","X"
"YJR027W","YJR027W","transposable_element_gene","472760-478028","+","X"
"YJRWdelta12","YJRWdelta12","long_terminal_repeat","478051-478384","+","X"
"YJRWTy1-2","YJRWTy1-2","LTR_retrotransposon","478051-483972","+","X"
"YJR028W","YJR028W","transposable_element_gene","478344-479666","+","X"
"YJR029W","YJR029W","transposable_element_gene","478344-483612","+","X"
"YJRWdelta13","YJRWdelta13","long_terminal_repeat","483635-483972","+","X"
"YJR030C","YJR030C","ORF","483959-486196","-","X"
"GEA1","YJR031C","ORF","486586-490812","-","X"
"CPR7","YJR032W","ORF","491081-492262","+","X"
"RAV1","YJR033C","ORF","492378-496451","-","X"
"PET191","YJR034W","ORF","496683-497009","+","X"
"RAD26","YJR035W","ORF","497355-500612","+","X"
"HUL4","YJR036C","ORF","500713-503391","-","X"
"YJR037W","YJR037W","ORF","503102-503485","+","X"
"YJR038C","YJR038C","ORF","503710-504072","-","X"
"YJR039W","YJR039W","ORF","503936-507301","+","X"
"GEF1","YJR040W","ORF","507746-510085","+","X"
"URB2","YJR041C","ORF","510239-513763","-","X"
"NUP85","YJR042W","ORF","514055-516289","+","X"
"POL32","YJR043C","ORF","516461-517513","-","X"
"IMT3","tM(CAU)J3","tRNA_gene","517813-517884","-","X"
"YJRWdelta14","YJRWdelta14","long_terminal_repeat","517959-518099","+","X"
"VPS55","YJR044C","ORF","518763-519185","-","X"
"SSC1","YJR045C","ORF","519638-521602","-","X"
"TAH11","YJR046W","ORF","522048-523862","+","X"
"tS(AGA)J","tS(AGA)J","tRNA_gene","524012-524093","-","X"
"ANB1","YJR047C","ORF","524908-525381","-","X"
"CYC1","YJR048W","ORF","526335-526664","+","X"
"UTR1","YJR049C","ORF","526884-528476","-","X"
"ISY1","YJR050W","ORF","528697-529404","+","X"
"OSM1","YJR051W","ORF","529861-531366","+","X"
"YJRCdelta15","YJRCdelta15","long_terminal_repeat","531516-531675","-","X"
"SUF23","tG(GCC)J2","tRNA_gene","531828-531898","+","X"
"RAD7","YJR052W","ORF","532062-533759","+","X"
"BFA1","YJR053W","ORF","534027-535751","+","X"
"KCH1","YJR054W","ORF","536056-537549","+","X"
"YJRCdelta16","YJRCdelta16","long_terminal_repeat","537741-538041","-","X"
"YJRWdelta17","YJRWdelta17","long_terminal_repeat","538103-538434","+","X"
"HSX1","tR(CCU)J","tRNA_gene","538555-538626","+","X"
"HIT1","YJR055W","ORF","538772-539266","+","X"
"ARS1018","ARS1018","ARS","540546-540780","0","X"
"YJRWdelta18","YJRWdelta18","long_terminal_repeat","540766-541087","+","X"
"YJRCdelta19","YJRCdelta19","long_terminal_repeat","541095-541427","-","X"
"tD(GUC)J4","tD(GUC)J4","tRNA_gene","541508-541579","+","X"
"YJR056C","YJR056C","ORF","541792-542502","-","X"
"SUP4","tY(GUA)J2","tRNA_gene","542956-543044","-","X"
"YJRWdelta20","YJRWdelta20","long_terminal_repeat","543448-543770","+","X"
"CDC8","YJR057W","ORF","544062-544712","+","X"
"APS2","YJR058C","ORF","544732-545175","-","X"
"PTK2","YJR059W","ORF","545787-548243","+","X"
"CBF1","YJR060W","ORF","548759-549814","+","X"
"YJR061W","YJR061W","ORF","550511-553318","+","X"
"NTA1","YJR062C","ORF","553476-554849","-","X"
"RPA12","YJR063W","ORF","555195-555572","+","X"
"CCT5","YJR064W","ORF","555914-557602","+","X"
"ARP3","YJR065C","ORF","557809-559158","-","X"
"TOR1","YJR066W","ORF","559416-566828","+","X"
"YAE1","YJR067C","ORF","567019-567444","-","X"
"RFC2","YJR068W","ORF","567643-568704","+","X"
"HAM1","YJR069C","ORF","568806-569399","-","X"
"LIA1","YJR070C","ORF","569621-570598","-","X"
"YJR071W","YJR071W","ORF","570405-570773","+","X"
"NPA3","YJR072C","ORF","570967-572124","-","X"
"OPI3","YJR073C","ORF","572315-572935","-","X"
"MOG1","YJR074W","ORF","573095-573751","+","X"
"HOC1","YJR075W","ORF","573981-575171","+","X"
"CDC11","YJR076C","ORF","575354-576601","-","X"
"MIR1","YJR077C","ORF","577255-578190","-","X"
"BNA2","YJR078W","ORF","578860-580221","+","X"
"YJR079W","YJR079W","ORF","580205-581239","+","X"
"AIM24","YJR080C","ORF","580432-581616","-","X"
"EAF6","YJR082C","ORF","581914-582255","-","X"
"ACF4","YJR083C","ORF","582608-583537","-","X"
"YJR084W","YJR084W","ORF","583733-585004","+","X"
"YJR085C","YJR085C","ORF","585120-585437","-","X"
"STE18","YJR086W","ORF","586068-586400","+","X"
"YJR087W","YJR087W","ORF","586400-586750","+","X"
"EMC2","YJR088C","ORF","586495-587373","-","X"
"BIR1","YJR089W","ORF","587718-590582","+","X"
"GRR1","YJR090C","ORF","590872-594327","-","X"
"JSN1","YJR091C","ORF","595061-598336","-","X"
"BUD4","YJR092W","ORF","598735-603078","+","X"
"FIP1","YJR093C","ORF","603220-604203","-","X"
"IME1","YJR094C","ORF","604569-605651","-","X"
"IRT1","IRT1","ncRNA_gene","605936-607424","-","X"
"RPL43B","YJR094W-A","ORF","608305-608858","+","X"
"SFC1","YJR095W","ORF","609773-610741","+","X"
"YJR096W","YJR096W","ORF","611195-612043","+","X"
"JJJ3","YJR097W","ORF","612413-612931","+","X"
"ARS1019","ARS1019","ARS","612846-613278","0","X"
"YJR098C","YJR098C","ORF","613186-615156","-","X"
"YUH1","YJR099W","ORF","615576-616286","+","X"
"AIM25","YJR100C","ORF","616351-617334","-","X"
"tL(UAG)J","tL(UAG)J","tRNA_gene","617919-618019","+","X"
"RSM26","YJR101W","ORF","618234-619034","+","X"
"VPS25","YJR102C","ORF","619157-619765","-","X"
"URA8","YJR103W","ORF","620754-622490","+","X"
"SOD1","YJR104C","ORF","622550-623014","-","X"
"ADO1","YJR105W","ORF","623581-624603","+","X"
"ECM27","YJR106W","ORF","624838-627015","+","X"
"LIH1","YJR107W","ORF","627340-628326","+","X"
"ABM1","YJR108W","ORF","628712-629083","+","X"
"CPA2","YJR109C","ORF","629585-632941","-","X"
"YMR1","YJR110W","ORF","633615-635681","+","X"
"YJR111C","YJR111C","ORF","635855-636706","-","X"
"NNF1","YJR112W","ORF","637030-637635","+","X"
"YJR112W-A","YJR112W-A","ORF","637790-638168","+","X"
"RSM7","YJR113C","ORF","638232-638975","-","X"
"YJR114W","YJR114W","ORF","638659-639051","+","X"
"YJR115W","YJR115W","ORF","639942-640451","+","X"
"TDA4","YJR116W","ORF","640825-641664","+","X"
"STE24","YJR117W","ORF","642007-643368","+","X"
"ILM1","YJR118C","ORF","643490-644101","-","X"
"JHD2","YJR119C","ORF","644304-646490","-","X"
"YJR120W","YJR120W","ORF","647126-647476","+","X"
"ATP2","YJR121W","ORF","647607-649142","+","X"
"IBA57","YJR122W","ORF","649776-651269","+","X"
"RPS5","YJR123W","ORF","651901-652578","+","X"
"YJR124C","YJR124C","ORF","652892-654238","-","X"
"ARS1020","ARS1020","ARS","654375-654614","0","X"
"ENT3","YJR125C","ORF","654737-655963","-","X"
"VPS70","YJR126C","ORF","656254-658689","-","X"
"RSF2","YJR127C","ORF","658917-663059","-","X"
"YJR128W","YJR128W","ORF","662921-663280","+","X"
"SNR3","snR3","snoRNA_gene","663749-663942","+","X"
"EFM3","YJR129C","ORF","664000-665019","-","X"
"STR2","YJR130C","ORF","665218-667137","-","X"
"MNS1","YJR131W","ORF","667644-669293","+","X"
"NMD5","YJR132W","ORF","669522-672668","+","X"
"XPT1","YJR133W","ORF","672991-673620","+","X"
"SGM1","YJR134C","ORF","673729-675852","-","X"
"MCM22","YJR135C","ORF","676059-676778","-","X"
"TIM8","YJR135W-A","ORF","676971-677234","+","X"
"TTI2","YJR136C","ORF","677441-678706","-","X"
"MET5","YJR137C","ORF","678957-683285","-","X"
"ARS1021","ARS1021","ARS","684009-684098","0","X"
"IML1","YJR138W","ORF","684567-689321","+","X"
"HOM6","YJR139C","ORF","689445-690524","-","X"
"HIR3","YJR140C","ORF","690750-695696","-","X"
"YJR140W-A","YJR140W-A","ORF","690961-691110","+","X"
"YJR141W","YJR141W","ORF","695906-696949","+","X"
"YJR142W","YJR142W","ORF","697141-698169","+","X"
"PMT4","YJR143C","ORF","698326-700614","-","X"
"MGM101","YJR144W","ORF","700882-701691","+","X"
"RPS4A","YJR145C","ORF","702027-703068","-","X"
"YJR146W","YJR146W","ORF","703885-704238","+","X"
"HMS2","YJR147W","ORF","704196-705272","+","X"
"BAT2","YJR148W","ORF","705744-706874","+","X"
"YJR149W","YJR149W","ORF","707160-708374","+","X"
"DAN1","YJR150C","ORF","708811-709707","-","X"
"ARS1022","ARS1022","ARS","711896-712142","0","X"
"DAN4","YJR151C","ORF","712255-715740","-","X"
"YJR151W-A","YJR151W-A","ORF","717580-717630","+","X"
"DAL5","YJR152W","ORF","719666-721297","+","X"
"PGU1","YJR153W","ORF","722815-723900","+","X"
"YJR154W","YJR154W","ORF","725784-726824","+","X"
"AAD10","YJR155W","ORF","727405-728271","+","X"
"THI11","YJR156C","ORF","728574-729596","-","X"
"ARS1023","ARS1023","ARS","729983-730513","0","X"
"YJR157W","YJR157W","ORF","730515-730877","+","X"
"HXT16","YJR158W","ORF","732440-734143","+","X"
"SOR1","YJR159W","ORF","736044-737117","+","X"
"ARS1024","ARS1024","ARS","737034-737275","0","X"
"MPH3","YJR160C","ORF","738008-739816","-","X"
"COS5","YJR161C","ORF","742848-743999","-","X"
"ARS1025","ARS1025","ARS","744408-745008","0","X"
"TEL10R","TEL10R","telomere","744902-745751","+","X"
"YJR162C","YJR162C","ORF","744911-745261","-","X"
"TEL11L","TEL11L","telomere","1-807","-","XI"
"YKL225W","YKL225W","ORF","451-798","+","XI"
"PAU16","YKL224C","ORF","1810-2181","-","XI"
"YKL223W","YKL223W","ORF","2389-2721","+","XI"
"YKL222C","YKL222C","ORF","3503-5620","-","XI"
"MCH2","YKL221W","ORF","6107-7528","+","XI"
"ARS1102","ARS1102","ARS","7528-8309","0","XI"
"FRE2","YKL220C","ORF","9091-11226","-","XI"
"COS9","YKL219W","ORF","14485-15708","+","XI"
"SRY1","YKL218C","ORF","17359-18339","-","XI"
"JEN1","YKL217W","ORF","22234-24084","+","XI"
"URA1","YKL216W","ORF","25215-26159","+","XI"
"OXP1","YKL215C","ORF","26827-30687","-","XI"
"YRA2","YKL214C","ORF","31082-31693","-","XI"
"DOA1","YKL213C","ORF","31960-34107","-","XI"
"SAC1","YKL212W","ORF","34543-36414","+","XI"
"TRP3","YKL211C","ORF","36699-38153","-","XI"
"SNR64","snR64","snoRNA_gene","38811-38911","+","XI"
"UBA1","YKL210W","ORF","39163-42237","+","XI"
"STE6","YKL209C","ORF","42423-46295","-","XI"
"TRT2","tT(CGU)K","tRNA_gene","46735-46806","-","XI"
"CBT1","YKL208W","ORF","47157-47972","+","XI"
"EMC3","YKL207W","ORF","48194-48955","+","XI"
"ADD66","YKL206C","ORF","49006-49809","-","XI"
"LOS1","YKL205W","ORF","50051-53353","+","XI"
"EAP1","YKL204W","ORF","53704-55602","+","XI"
"ARS1103","ARS1103","ARS","55671-55917","0","XI"
"TOR2","YKL203C","ORF","55935-63359","-","XI"
"YKL202W","YKL202W","ORF","63821-64402","+","XI"
"MNN4","YKL201C","ORF","63930-67466","-","XI"
"PTK1","YKL198C","ORF","68232-70220","-","XI"
"PEX1","YKL197C","ORF","70734-73865","-","XI"
"YKLWdelta1","YKLWdelta1","long_terminal_repeat","74236-74518","+","XI"
"tN(GUU)K","tN(GUU)K","tRNA_gene","74624-74697","+","XI"
